
RegionName,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31
"New York, NY",421667.0,423333.0,424983.0,428317.0,431650.0,440000.0,444667.0,452833.0,456167.0,463167.0,468333.0,471667.0,471667.0,471667.0,475000.0,483333.0,495000.0,510000.0,522917.0,534583.0
"Los Angeles-Long Beach-Anaheim, CA",656500.0,660417.0,667800.0,671467.0,669383.0,670333.0,685333.0,710000.0,728000.0,735667.0,735667.0,732667.0,728333.0,735000.0,750333.0,775333.0,799333.0,817333.0,825667.0,828333.0
"Chicago, IL",231333.0,229667.0,235333.0,247167.0,254500.0,256167.0,257333.0,263333.0,266667.0,268333.0,265000.0,263333.0,257592.0,255925.0,259258.0,268333.0,281667.0,290000.0,293667.0,292000.0
"Dallas-Fort Worth, TX",270500.0,271833.0,273333.0,279832.0,281832.0,285165.0,290000.0,296500.0,299500.0,299500.0,299667.0,300000.0,297998.0,301332.0,307998.0,320667.0,334000.0,345667.0,354568.0,356235.0
"Philadelphia, PA",249000.0,248000.0,249167.0,259167.0,266167.0,271833.0,274167.0,279833.0,283007.0,282307.0,278974.0,278300.0,275000.0,271167.0,267833.0,272833.0,281200.0,293950.0,302283.0,309417.0
"Houston, TX",244633.0,245310.0,244461.0,249641.0,249862.0,253862.0,258865.0,264333.0,264833.0,263650.0,264617.0,267708.0,266558.0,268907.0,274857.0,285190.0,294208.0,301667.0,306539.0,307539.0
"Washington, DC",413633.0,412685.0,417535.0,431568.0,437516.0,438292.0,445958.0,452625.0,456667.0,451667.0,449967.0,447898.0,439564.0,431264.0,436667.0,456667.0,481667.0,495000.0,499667.0,493000.0
"Miami-Fort Lauderdale, FL",300000.0,297000.0,299000.0,304833.0,310167.0,314833.0,319000.0,325000.0,328333.0,330000.0,330000.0,330000.0,331667.0,335000.0,340000.0,345000.0,351000.0,356750.0,361750.0,365000.0
"Atlanta, GA",258333.0,260000.0,262167.0,270833.0,270833.0,271174.0,272507.0,279174.0,283167.0,284833.0,284833.0,285000.0,283333.0,284192.0,290858.0,302683.0,315825.0,325908.0,333068.0,333543.0
"Boston, MA",462677.0,466343.0,473010.0,486333.0,495750.0,504083.0,509583.0,520833.0,525833.0,521667.0,514667.0,511333.0,511333.0,514083.0,521750.0,538417.0,559333.0,583333.0,595000.0,598333.0
"San Francisco, CA",794871.0,781667.0,790000.0,818167.0,836500.0,848167.0,863333.0,885333.0,898667.0,900000.0,901333.0,891333.0,872333.0,870667.0,900667.0,972333.0,1031000.0,1061000.0,1058667.0,1033333.0
"Detroit, MI",185833.0,182500.0,185667.0,194333.0,199333.0,203648.0,209982.0,217315.0,221333.0,218000.0,217167.0,213833.0,208833.0,202667.0,203667.0,211983.0,226617.0,234950.0,241600.0,241633.0
"Riverside, CA",385833.0,388000.0,392000.0,393667.0,395667.0,398667.0,407000.0,414000.0,422000.0,427000.0,431833.0,435167.0,437750.0,442583.0,450917.0,462500.0,474167.0,484167.0,493667.0,498667.0
"Phoenix, AZ",297163.0,298833.0,300833.0,302000.0,302000.0,303654.0,308987.0,317321.0,324000.0,330967.0,334300.0,335967.0,338333.0,345000.0,355000.0,365667.0,379000.0,390667.0,400408.0,406075.0
"Seattle, WA",501192.0,508767.0,514233.0,526317.0,524667.0,529650.0,536650.0,551650.0,560000.0,563333.0,563333.0,556667.0,555000.0,558333.0,578333.0,603000.0,631333.0,648000.0,657983.0,658983.0
