RegionID,SizeRank,RegionName,RegionType,StateName,2008-02-29,2008-03-31,2008-04-30,2008-05-31,2008-06-30,2008-07-31,2008-08-31,2008-09-30,2008-10-31,2008-11-30,2008-12-31,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30
102001,0,United States,Country,"",184850.0,218899.0,240785.0,259569.0,274779.0,279521.0,255885.0,236139.0,227603.0,161494.0,179287.0,121494.0,127214.0,170350.0,182028.0,202502.0,252316.0,266468.0,247566.0,243436.0,253302.0,244598.0,233908.0,146894.0,147748.0,231609.0,248648.0,268101.0,311594.0,223057.0,211859.0,218526.0,189981.0,181880.0,200153.0,151172.0,144636.0,204282.0,208358.0,229558.0,262530.0,237777.0,260220.0,227464.0,210427.0,203211.0,218648.0,171173.0,178597.0,230988.0,242149.0,286535.0,300403.0,288905.0,310396.0,251117.0,283002.0,255531.0,258411.0,215390.0,207324.0,268281.0,307542.0,353512.0,353122.0,381482.0,376097.0,321227.0,323108.0,273324.0,284973.0,220481.0,209943.0,265104.0,304437.0,343210.0,373545.0,385091.0,360705.0,338261.0,346913.0,268792.0,315792.0,223891.0,225689.0,318401.0,344003.0,375173.0,447848.0,444167.0,405364.0,386184.0,364697.0,285271.0,349769.0,252247.0,263855.0,351184.0,373002.0,423700.0,487434.0,431265.0,461603.0,415198.0,381609.0,361411.0,376687.0,286478.0,274616.0,395355.0,381553.0,468255.0,514173.0,443862.0,479402.0,406826.0,409264.0,374266.0,375043.0,293728.0,279270.0,385724.0,408953.0,474680.0,500277.0,474146.0,489307.0,387725.0,418221.0,366176.0,344899.0,273768.0,284298.0,364702.0,408517.0,476453.0,462710.0,481463.0,472304.0,408996.0,426117.0,362883.0,387461.0,303058.0,297184.0,379572.0,335387.0,322434.0,437224.0,516921.0,499468.0,499836.0,509778.0,438471.0,476724.0,342072.0,328430.0,443353.0,456762.0,457402.0,532118.0,493439.0,494794.0,452631.0
394913,1,"New York, NY",Msa,NY,8121.0,8807.0,9544.0,9815.0,10311.0,12755.0,11683.0,10985.0,9970.0,7893.0,8384.0,6119.0,5012.0,5936.0,6077.0,7009.0,8034.0,9969.0,10696.0,10623.0,10173.0,12371.0,11201.0,8110.0,6333.0,"","","","","","","","",7687.0,7810.0,7272.0,6746.0,7765.0,7539.0,8150.0,9510.0,10060.0,10508.0,9457.0,8232.0,7380.0,8214.0,7552.0,6534.0,7211.0,7496.0,8864.0,9729.0,10821.0,11250.0,9887.0,9419.0,8086.0,9356.0,9450.0,7627.0,8557.0,9295.0,11659.0,11987.0,14749.0,15436.0,14670.0,13743.0,11110.0,11964.0,10471.0,7896.0,8965.0,9315.0,11084.0,11807.0,14177.0,13847.0,13044.0,13091.0,10311.0,12534.0,9805.0,8762.0,9995.0,10083.0,11013.0,13752.0,15901.0,16293.0,15110.0,14260.0,12218.0,13595.0,11432.0,10799.0,12294.0,11617.0,12435.0,16041.0,16001.0,18157.0,16942.0,15260.0,14614.0,16019.0,14787.0,12166.0,13966.0,13490.0,15694.0,18437.0,17372.0,20852.0,18100.0,17265.0,15166.0,15744.0,14428.0,11893.0,12727.0,13949.0,15875.0,17263.0,19023.0,20633.0,16110.0,17447.0,15191.0,15043.0,14067.0,11286.0,12620.0,13569.0,15435.0,16479.0,18963.0,19021.0,16736.0,17053.0,14880.0,16137.0,15016.0,12732.0,13174.0,10082.0,10489.0,12927.0,15427.0,17467.0,18633.0,21547.0,19311.0,22408.0,18341.0,15590.0,19495.0,17651.0,16980.0,21823.0,21894.0,23241.0,20730.0
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,3595.0,4356.0,5161.0,5669.0,5803.0,6448.0,6135.0,5804.0,5893.0,4332.0,4818.0,3220.0,3422.0,4848.0,5258.0,5787.0,7176.0,7672.0,6904.0,7154.0,7425.0,6514.0,7778.0,5141.0,5049.0,7276.0,7189.0,8334.0,8901.0,7078.0,6766.0,6832.0,6134.0,6016.0,6980.0,5056.0,4880.0,6939.0,6692.0,6725.0,7561.0,6746.0,7195.0,6767.0,6132.0,6224.0,6953.0,5236.0,5676.0,7552.0,7475.0,8565.0,8903.0,8394.0,9707.0,7836.0,9084.0,8509.0,9162.0,6618.0,6700.0,8888.0,9218.0,10427.0,9673.0,10403.0,10611.0,8658.0,9090.0,7798.0,8515.0,6445.0,6209.0,7989.0,8947.0,9266.0,9350.0,9482.0,9178.0,8471.0,9026.0,7178.0,8534.0,6003.0,6181.0,9051.0,9805.0,9887.0,11109.0,11050.0,9681.0,9447.0,9120.0,6960.0,9601.0,6699.0,6707.0,9008.0,9608.0,10170.0,11089.0,10052.0,10592.0,9852.0,9224.0,9026.0,9494.0,7049.0,6648.0,9998.0,9078.0,10822.0,11924.0,9780.0,11234.0,9828.0,9404.0,8806.0,9155.0,6758.0,6619.0,9751.0,9258.0,10250.0,10639.0,9735.0,10282.0,7721.0,8610.0,7634.0,7272.0,5498.0,5818.0,7910.0,8875.0,9833.0,9386.0,9716.0,9824.0,8741.0,9296.0,7968.0,8559.0,6582.0,6539.0,7856.0,5738.0,4727.0,6926.0,9400.0,9502.0,10148.0,10545.0,9005.0,10335.0,7482.0,7316.0,10431.0,11104.0,10225.0,11334.0,10439.0,10066.0,9059.0
394463,3,"Chicago, IL",Msa,IL,4884.0,5884.0,6616.0,6666.0,7770.0,8111.0,7475.0,6875.0,6245.0,3943.0,4270.0,2862.0,2478.0,3559.0,3950.0,4463.0,5831.0,6675.0,6666.0,6251.0,6569.0,6016.0,6252.0,3916.0,3176.0,4951.0,5896.0,6663.0,8317.0,6154.0,5329.0,4595.0,4460.0,3965.0,4456.0,3614.0,3020.0,4326.0,4491.0,5323.0,6676.0,5974.0,6799.0,5336.0,5161.0,5020.0,5468.0,4506.0,4109.0,5347.0,5638.0,7235.0,8150.0,7402.0,8304.0,6432.0,7473.0,6219.0,5999.0,5819.0,4624.0,5941.0,7662.0,9173.0,9496.0,11220.0,11062.0,9211.0,9935.0,7832.0,7844.0,6390.0,5400.0,6692.0,8587.0,9657.0,11630.0,12347.0,10594.0,10851.0,10779.0,7685.0,8835.0,6162.0,5707.0,7969.0,9460.0,10730.0,14609.0,13418.0,13334.0,12057.0,11069.0,7603.0,9426.0,7231.0,6880.0,9434.0,10782.0,12422.0,15811.0,13890.0,14710.0,11819.0,10638.0,9640.0,9493.0,7804.0,6490.0,10349.0,11014.0,13847.0,15630.0,12885.0,13972.0,10991.0,10584.0,9476.0,8914.0,7498.0,6156.0,10290.0,12325.0,14780.0,16806.0,15094.0,14526.0,11658.0,11949.0,10563.0,9169.0,6817.0,6911.0,9363.0,11145.0,13329.0,14264.0,13858.0,13256.0,11076.0,10695.0,9270.0,9303.0,7378.0,6982.0,9010.0,9536.0,8742.0,11097.0,14527.0,14619.0,14829.0,18426.0,15408.0,14220.0,11845.0,10543.0,12828.0,14603.0,14006.0,16940.0,"",17896.0,15499.0
394514,4,"Dallas-Fort Worth, TX",Msa,TX,5025.0,6114.0,6866.0,7111.0,7302.0,7700.0,6922.0,6202.0,5843.0,3960.0,4736.0,3291.0,3742.0,5045.0,5191.0,5437.0,6587.0,6905.0,6104.0,5768.0,5877.0,5681.0,5342.0,3141.0,3610.0,5959.0,6582.0,6862.0,7228.0,5233.0,5088.0,4592.0,4285.0,4309.0,4606.0,3300.0,3343.0,5111.0,5166.0,6106.0,6542.0,5765.0,6585.0,5255.0,4868.0,4570.0,5022.0,3732.0,4387.0,5814.0,5638.0,7389.0,7489.0,7347.0,7806.0,5698.0,6424.0,5491.0,5851.0,4797.0,4861.0,6952.0,8473.0,8771.0,8596.0,9504.0,9219.0,7359.0,7132.0,5938.0,6492.0,4666.0,5266.0,6776.0,7773.0,8520.0,9474.0,9370.0,8834.0,7756.0,7806.0,5999.0,7148.0,4698.0,5045.0,7722.0,7742.0,8762.0,10147.0,10071.0,9548.0,8604.0,7708.0,6154.0,8351.0,5398.0,6351.0,8624.0,8436.0,9348.0,10257.0,9448.0,10342.0,9148.0,7978.0,7717.0,8328.0,5697.0,6315.0,8980.0,8586.0,10440.0,10939.0,10110.0,10234.0,8622.0,8394.0,7924.0,8364.0,6151.0,6387.0,8616.0,8849.0,10191.0,10116.0,10182.0,10002.0,7662.0,8006.0,6998.0,7273.0,5166.0,6232.0,8225.0,9026.0,10306.0,9330.0,10306.0,9821.0,8489.0,8515.0,7216.0,8568.0,6171.0,7016.0,8742.0,7513.0,7311.0,10528.0,12405.0,11265.0,10299.0,9881.0,8753.0,10020.0,6510.0,6176.0,8628.0,9236.0,9442.0,10592.0,9953.0,9872.0,10479.0
394974,5,"Philadelphia, PA",Msa,PA,3753.0,4608.0,5511.0,5416.0,6058.0,6880.0,5975.0,5570.0,5090.0,4073.0,4384.0,3128.0,2584.0,3405.0,3840.0,3988.0,5257.0,6131.0,5910.0,5593.0,5474.0,5661.0,6003.0,3090.0,2500.0,4159.0,4657.0,5519.0,7234.0,5598.0,4173.0,3888.0,3666.0,3424.0,3969.0,3058.0,2574.0,3554.0,3498.0,4102.0,4946.0,4515.0,5124.0,4008.0,4014.0,3601.0,4021.0,3397.0,3015.0,3709.0,3845.0,5273.0,5311.0,5652.0,6009.0,4071.0,4919.0,4713.0,4585.0,4432.0,3317.0,4109.0,5059.0,5970.0,6333.0,7326.0,6615.0,5622.0,5748.0,4673.0,5247.0,3850.0,3063.0,3815.0,4527.0,5334.0,6877.0,6514.0,6289.0,5846.0,5651.0,4755.0,5760.0,4061.0,3566.0,4879.0,5377.0,6139.0,8125.0,8759.0,7288.0,6698.0,6675.0,5097.0,6380.0,4703.0,4476.0,5312.0,5877.0,7454.0,9101.0,7892.0,8137.0,7031.0,6577.0,6491.0,6571.0,5212.0,4275.0,6367.0,6419.0,8350.0,9454.0,8578.0,8924.0,7200.0,7139.0,7013.0,6833.0,5714.0,4131.0,5725.0,6650.0,8413.0,9269.0,9114.0,9015.0,7409.0,7875.0,6967.0,6603.0,5471.0,4840.0,6177.0,6982.0,8521.0,9082.0,9232.0,9013.0,7604.0,7829.0,6573.0,7392.0,6222.0,5064.0,6634.0,5898.0,5236.0,6520.0,9132.0,9668.0,9388.0,9878.0,8853.0,9351.0,7509.0,6482.0,7983.0,8334.0,8475.0,10991.0,10728.0,11702.0,10568.0
394692,6,"Houston, TX",Msa,TX,4301.0,5374.0,5653.0,5964.0,6435.0,6526.0,5778.0,3857.0,4662.0,3404.0,4484.0,3066.0,3347.0,4386.0,4264.0,4586.0,5558.0,5995.0,5120.0,4794.0,4983.0,4788.0,4939.0,2590.0,3103.0,4970.0,5221.0,5761.0,6179.0,4610.0,4392.0,3840.0,3395.0,3328.0,3603.0,2917.0,2887.0,4424.0,4483.0,5218.0,5706.0,5102.0,5479.0,4307.0,3819.0,3616.0,4328.0,3137.0,3309.0,4730.0,4642.0,5939.0,5917.0,6202.0,5264.0,4023.0,5147.0,5272.0,4629.0,4103.0,4289.0,5512.0,6457.0,7345.0,6672.0,7494.0,7494.0,6274.0,6031.0,4784.0,5574.0,"","","","","","",7782.0,6717.0,7341.0,6937.0,5423.0,6751.0,4566.0,4632.0,6257.0,6158.0,6581.0,7872.0,7926.0,6301.0,7168.0,6312.0,4855.0,6744.0,4417.0,4971.0,6989.0,6565.0,7738.0,8513.0,7652.0,8534.0,6860.0,6232.0,6141.0,6982.0,4600.0,5625.0,7481.0,6822.0,8381.0,8762.0,7755.0,6750.0,6950.0,6857.0,6508.0,7185.0,5156.0,5697.0,6981.0,7561.0,8738.0,8877.0,8584.0,8532.0,6717.0,7119.0,6062.0,6650.0,4473.0,5118.0,6982.0,7613.0,8916.0,8310.0,9083.0,8548.0,7322.0,7492.0,6477.0,7788.0,5102.0,5927.0,7786.0,6352.0,6288.0,9123.0,10687.0,9137.0,9152.0,9018.0,8185.0,9859.0,6307.0,5890.0,9317.0,9470.0,9754.0,10819.0,10156.0,10158.0,10200.0
395209,7,"Washington, DC",Msa,DC,3798.0,4582.0,4907.0,5311.0,6372.0,5852.0,5398.0,5264.0,5371.0,3937.0,4782.0,2634.0,2978.0,4511.0,4841.0,5249.0,7523.0,6006.0,6627.0,6257.0,5929.0,6018.0,5956.0,4428.0,3647.0,5813.0,6022.0,7150.0,8213.0,5386.0,6752.0,5392.0,4899.0,4734.0,5237.0,3909.0,3391.0,4957.0,4949.0,5745.0,7137.0,5792.0,6137.0,5170.0,4762.0,4545.0,5035.0,4056.0,3854.0,5087.0,5371.0,6917.0,7602.0,6614.0,7599.0,5015.0,5892.0,6400.0,5616.0,5360.0,4531.0,5882.0,6886.0,8312.0,9359.0,8128.0,8359.0,6773.0,7014.0,5714.0,6581.0,4632.0,4433.0,5842.0,6602.0,7053.0,8729.0,8006.0,7425.0,6661.0,6702.0,5560.0,6988.0,4667.0,4525.0,6314.0,7088.0,7940.0,10306.0,9250.0,8478.0,7280.0,7236.0,5843.0,8108.0,4718.0,5438.0,7005.0,7580.0,9323.0,11049.0,9093.0,9541.0,7920.0,7494.0,7478.0,7969.0,6162.0,5971.0,8235.0,8507.0,10424.0,11835.0,9275.0,9498.0,8325.0,8296.0,7620.0,7684.0,6281.0,5728.0,7822.0,8246.0,10297.0,11557.0,10072.0,10002.0,7638.0,8397.0,7544.0,7551.0,6613.0,5779.0,7885.0,9163.0,10667.0,10777.0,10170.0,9799.0,8059.0,9230.0,7476.0,8315.0,6861.0,6340.0,8452.0,8128.0,7724.0,9821.0,10694.0,10265.0,10354.0,10563.0,9265.0,9751.0,7556.0,7791.0,9886.0,10639.0,11331.0,12909.0,11267.0,11835.0,11856.0
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,4011.0,4408.0,4946.0,4906.0,4860.0,4648.0,3921.0,3918.0,3900.0,2968.0,3849.0,2901.0,2818.0,3815.0,3913.0,4076.0,4867.0,4916.0,4722.0,4857.0,5505.0,4927.0,6025.0,4514.0,4128.0,6134.0,6164.0,5766.0,6479.0,5817.0,5029.0,4706.0,4826.0,4653.0,5844.0,4619.0,4621.0,6513.0,6862.0,6750.0,6930.0,5959.0,6461.0,6019.0,5219.0,5690.0,6494.0,5332.0,5232.0,6923.0,7304.0,7748.0,7315.0,6837.0,7078.0,6289.0,6962.0,6208.0,7166.0,6487.0,6247.0,7812.0,8724.0,8710.0,8596.0,8928.0,8145.0,7267.0,7771.0,6293.0,7625.0,6071.0,5668.0,7334.0,8369.0,8304.0,8079.0,8155.0,7402.0,7321.0,7940.0,6404.0,8269.0,5868.0,5930.0,8260.0,8821.0,8487.0,9479.0,9536.0,8295.0,8356.0,7845.0,6653.0,8814.0,6120.0,6611.0,8710.0,8932.0,9276.0,10009.0,9121.0,9186.0,8423.0,7843.0,7697.0,9092.0,6737.0,6880.0,9764.0,9257.0,10410.0,10594.0,9022.0,9932.0,6099.0,8575.0,7712.0,8696.0,7417.0,6831.0,10046.0,10335.0,10351.0,10856.0,10109.0,9808.0,8028.0,8871.0,8037.0,8027.0,6559.0,6574.0,8938.0,9826.0,10943.0,9537.0,10524.0,9305.0,8295.0,8680.0,7382.0,8990.0,7876.0,6362.0,9452.0,7264.0,5300.0,7161.0,9367.0,9755.0,9763.0,10695.0,9100.0,11677.0,9164.0,8973.0,12683.0,13122.0,12742.0,13949.0,12523.0,12692.0,10654.0
394347,9,"Atlanta, GA",Msa,GA,5126.0,5650.0,6174.0,5935.0,6453.0,6622.0,6076.0,5329.0,5872.0,3576.0,4213.0,3037.0,2776.0,3829.0,3919.0,3839.0,4857.0,5426.0,4938.0,4786.0,5105.0,4731.0,5266.0,3259.0,3163.0,4557.0,4983.0,5288.0,6256.0,5065.0,4261.0,4045.0,3997.0,3601.0,3875.0,3182.0,2982.0,4774.0,4239.0,4965.0,5832.0,6414.0,5354.0,4518.0,4109.0,3863.0,3901.0,3666.0,3732.0,4661.0,4528.0,5332.0,5780.0,5337.0,5793.0,4723.0,5215.0,4933.0,4579.0,4524.0,4495.0,5745.0,6073.0,7185.0,7073.0,7625.0,7446.0,6310.0,6373.0,5553.0,5625.0,4885.0,4936.0,6197.0,6820.0,8061.0,8448.0,8309.0,7984.0,7339.0,7486.0,6019.0,6959.0,5453.0,5760.0,8109.0,8741.0,9445.0,10373.0,10300.0,9381.0,8728.0,7985.0,6583.0,8204.0,6256.0,7178.0,9636.0,10267.0,12174.0,13217.0,12170.0,12555.0,11315.0,10370.0,9685.0,10838.0,7331.0,8084.0,12511.0,11041.0,13389.0,14052.0,11998.0,12483.0,10989.0,10423.0,9610.0,10501.0,7199.0,8504.0,11886.0,11775.0,13503.0,13434.0,12692.0,12483.0,10515.0,10440.0,9700.0,9570.0,6911.0,8476.0,11049.0,11611.0,13261.0,12310.0,12431.0,11981.0,10390.0,10449.0,9190.0,10499.0,7157.0,8708.0,10407.0,8998.0,8672.0,12060.0,13172.0,12368.0,12011.0,12040.0,10260.0,11487.0,7892.0,8643.0,12074.0,12038.0,11967.0,13623.0,12254.0,11698.0,10382.0
