Region,RegionName,StateName,CountyName,CityName,ForecastedDate,ForecastYoYPctChange
Country,United States,,,,2022-09-30,13.6
Msa,"Aberdeen, WA",WA,,,2022-09-30,18.3
Msa,"Abilene, TX",TX,,,2022-09-30,11.8
Msa,"Ada, OK",OK,,,2022-09-30,13.5
Msa,"Adrian, MI",MI,,,2022-09-30,12.6
Msa,"Akron, OH",OH,,,2022-09-30,13.0
Msa,"Alamogordo, NM",NM,,,2022-09-30,14.0
Msa,"Albany, NY",NY,,,2022-09-30,12.0
Msa,"Albany, OR",OR,,,2022-09-30,16.5
Msa,"Albemarle, NC",NC,,,2022-09-30,10.8
Msa,"Albert Lea, MN",MN,,,2022-09-30,14.9
Msa,"Albertville, AL",AL,,,2022-09-30,16.7
Msa,"Albuquerque, NM",NM,,,2022-09-30,16.4
Msa,"Alexandria, LA",LA,,,2022-09-30,6.4
Msa,"Alexandria, MN",MN,,,2022-09-30,13.2
Msa,"Alice, TX",TX,,,2022-09-30,12.0
Msa,"Allentown, PA",PA,,,2022-09-30,15.8
Msa,"Altoona, PA",PA,,,2022-09-30,8.9
Msa,"Altus, OK",OK,,,2022-09-30,12.4
Msa,"Amarillo, TX",TX,,,2022-09-30,17.3
Msa,"Ames, IA",IA,,,2022-09-30,11.9
Msa,"Amsterdam, NY",NY,,,2022-09-30,11.7
Msa,"Anchorage, AK",AK,,,2022-09-30,8.1
Msa,"Ann Arbor, MI",MI,,,2022-09-30,9.2
Msa,"Anniston, AL",AL,,,2022-09-30,16.7
Msa,"Appleton, WI",WI,,,2022-09-30,13.2
Msa,"Ardmore, OK",OK,,,2022-09-30,13.6
Msa,"Arkadelphia, AR",AR,,,2022-09-30,11.0
Msa,"Asheville, NC",NC,,,2022-09-30,18.7
Msa,"Ashtabula, OH",OH,,,2022-09-30,12.2
Msa,"Astoria, OR",OR,,,2022-09-30,29.8
Msa,"Athens, GA",GA,,,2022-09-30,13.7
Msa,"Athens, OH",OH,,,2022-09-30,14.6
Msa,"Athens, TN",TN,,,2022-09-30,12.0
Msa,"Athens, TX",TX,,,2022-09-30,19.7
Msa,"Atlanta, GA",GA,,,2022-09-30,23.9
Msa,"Atlantic City, NJ",NJ,,,2022-09-30,17.8
Msa,"Auburn, AL",AL,,,2022-09-30,12.3
Msa,"Auburn, IN",IN,,,2022-09-30,15.8
Msa,"Auburn, NY",NY,,,2022-09-30,11.5
Msa,"Augusta, GA",GA,,,2022-09-30,14.7
Msa,"Augusta, ME",ME,,,2022-09-30,15.1
Msa,"Austin, MN",MN,,,2022-09-30,13.0
Msa,"Austin, TX",TX,,,2022-09-30,21.9
Msa,"Bakersfield, CA",CA,,,2022-09-30,19.1
Msa,"Baltimore, MD",MD,,,2022-09-30,10.7
Msa,"Bangor, ME",ME,,,2022-09-30,15.7
Msa,"Baraboo, WI",WI,,,2022-09-30,13.6
Msa,"Bardstown, KY",KY,,,2022-09-30,12.8
Msa,"Barnstable Town, MA",MA,,,2022-09-30,20.2
Msa,"Barre, VT",VT,,,2022-09-30,18.6
Msa,"Bartlesville, OK",OK,,,2022-09-30,11.7
Msa,"Bastrop, LA",LA,,,2022-09-30,8.8
Msa,"Batavia, NY",NY,,,2022-09-30,12.0
Msa,"Baton Rouge, LA",LA,,,2022-09-30,8.1
Msa,"Battle Creek, MI",MI,,,2022-09-30,15.7
Msa,"Bay City, MI",MI,,,2022-09-30,14.0
Msa,"Beaumont, TX",TX,,,2022-09-30,9.9
Msa,"Beaver Dam, WI",WI,,,2022-09-30,13.4
Msa,"Beckley, WV",WV,,,2022-09-30,8.8
Msa,"Bellingham, WA",WA,,,2022-09-30,16.8
Msa,"Bend, OR",OR,,,2022-09-30,19.7
Msa,"Bennettsville, SC",SC,,,2022-09-30,13.8
Msa,"Bennington, VT",VT,,,2022-09-30,12.8
Msa,"Berlin, NH",NH,,,2022-09-30,15.0
Msa,"Big Stone Gap, VA",VA,,,2022-09-30,10.3
Msa,"Billings, MT",MT,,,2022-09-30,13.6
Msa,"Binghamton, NY",NY,,,2022-09-30,15.6
Msa,"Birmingham, AL",AL,,,2022-09-30,13.2
Msa,"Bismarck, ND",ND,,,2022-09-30,8.4
Msa,"Blackfoot, ID",ID,,,2022-09-30,14.3
Msa,"Bloomington, IL",IL,,,2022-09-30,12.4
Msa,"Bloomington, IN",IN,,,2022-09-30,13.8
Msa,"Bloomsburg, PA",PA,,,2022-09-30,12.4
Msa,"Bluefield, WV",WV,,,2022-09-30,10.8
Msa,"Blytheville, AR",AR,,,2022-09-30,12.3
Msa,"Bogalusa, LA",LA,,,2022-09-30,10.6
Msa,"Boise City, ID",ID,,,2022-09-30,18.6
Msa,"Boone, NC",NC,,,2022-09-30,28.7
Msa,"Boston, MA",MA,,,2022-09-30,11.4
Msa,"Boulder, CO",CO,,,2022-09-30,17.7
Msa,"Bowling Green, KY",KY,,,2022-09-30,10.9
Msa,"Bozeman, MT",MT,,,2022-09-30,20.3
