RegionName,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021
"New York, NY","$421,667.00 ","$423,333.00 ","$424,983.00 ","$428,317.00 ","$431,650.00 ","$440,000.00 ","$444,667.00 ","$452,833.00 ","$456,167.00 ","$463,167.00 ","$468,333.00 ","$471,667.00 ","$471,667.00 ","$471,667.00 ","$475,000.00 ","$483,333.00 ","$495,000.00 ","$510,000.00 ","$522,917.00 ","$534,583.00 "
"Los Angeles-Long Beach-Anaheim, CA","$656,500.00 ","$660,417.00 ","$667,800.00 ","$671,467.00 ","$669,383.00 ","$670,333.00 ","$685,333.00 ","$710,000.00 ","$728,000.00 ","$735,667.00 ","$735,667.00 ","$732,667.00 ","$728,333.00 ","$735,000.00 ","$750,333.00 ","$775,333.00 ","$799,333.00 ","$817,333.00 ","$825,667.00 ","$828,333.00 "
"Chicago, IL","$231,333.00 ","$229,667.00 ","$235,333.00 ","$247,167.00 ","$254,500.00 ","$256,167.00 ","$257,333.00 ","$263,333.00 ","$266,667.00 ","$268,333.00 ","$265,000.00 ","$263,333.00 ","$257,592.00 ","$255,925.00 ","$259,258.00 ","$268,333.00 ","$281,667.00 ","$290,000.00 ","$293,667.00 ","$292,000.00 "
"Dallas-Fort Worth, TX","$270,500.00 ","$271,833.00 ","$273,333.00 ","$279,832.00 ","$281,832.00 ","$285,165.00 ","$290,000.00 ","$296,500.00 ","$299,500.00 ","$299,500.00 ","$299,667.00 ","$300,000.00 ","$297,998.00 ","$301,332.00 ","$307,998.00 ","$320,667.00 ","$334,000.00 ","$345,667.00 ","$354,568.00 ","$356,235.00 "
"Philadelphia, PA","$249,000.00 ","$248,000.00 ","$249,167.00 ","$259,167.00 ","$266,167.00 ","$271,833.00 ","$274,167.00 ","$279,833.00 ","$283,007.00 ","$282,307.00 ","$278,974.00 ","$278,300.00 ","$275,000.00 ","$271,167.00 ","$267,833.00 ","$272,833.00 ","$281,200.00 ","$293,950.00 ","$302,283.00 ","$309,417.00 "
"Houston, TX","$244,633.00 ","$245,310.00 ","$244,461.00 ","$249,641.00 ","$249,862.00 ","$253,862.00 ","$258,865.00 ","$264,333.00 ","$264,833.00 ","$263,650.00 ","$264,617.00 ","$267,708.00 ","$266,558.00 ","$268,907.00 ","$274,857.00 ","$285,190.00 ","$294,208.00 ","$301,667.00 ","$306,539.00 ","$307,539.00 "
"Washington, DC","$413,633.00 ","$412,685.00 ","$417,535.00 ","$431,568.00 ","$437,516.00 ","$438,292.00 ","$445,958.00 ","$452,625.00 ","$456,667.00 ","$451,667.00 ","$449,967.00 ","$447,898.00 ","$439,564.00 ","$431,264.00 ","$436,667.00 ","$456,667.00 ","$481,667.00 ","$495,000.00 ","$499,667.00 ","$493,000.00 "
"Miami-Fort Lauderdale, FL","$300,000.00 ","$297,000.00 ","$299,000.00 ","$304,833.00 ","$310,167.00 ","$314,833.00 ","$319,000.00 ","$325,000.00 ","$328,333.00 ","$330,000.00 ","$330,000.00 ","$330,000.00 ","$331,667.00 ","$335,000.00 ","$340,000.00 ","$345,000.00 ","$351,000.00 ","$356,750.00 ","$361,750.00 ","$365,000.00 "
"Atlanta, GA","$258,333.00 ","$260,000.00 ","$262,167.00 ","$270,833.00 ","$270,833.00 ","$271,174.00 ","$272,507.00 ","$279,174.00 ","$283,167.00 ","$284,833.00 ","$284,833.00 ","$285,000.00 ","$283,333.00 ","$284,192.00 ","$290,858.00 ","$302,683.00 ","$315,825.00 ","$325,908.00 ","$333,068.00 ","$333,543.00 "
"Boston, MA","$462,677.00 ","$466,343.00 ","$473,010.00 ","$486,333.00 ","$495,750.00 ","$504,083.00 ","$509,583.00 ","$520,833.00 ","$525,833.00 ","$521,667.00 ","$514,667.00 ","$511,333.00 ","$511,333.00 ","$514,083.00 ","$521,750.00 ","$538,417.00 ","$559,333.00 ","$583,333.00 ","$595,000.00 ","$598,333.00 "
"San Francisco, CA","$794,871.00 ","$781,667.00 ","$790,000.00 ","$818,167.00 ","$836,500.00 ","$848,167.00 ","$863,333.00 ","$885,333.00 ","$898,667.00 ","$900,000.00 ","$901,333.00 ","$891,333.00 ","$872,333.00 ","$870,667.00 ","$900,667.00 ","$972,333.00 ","$1,031,000.00 ","$1,061,000.00 ","$1,058,667.00 ","$1,033,333.00 "
"Detroit, MI","$185,833.00 ","$182,500.00 ","$185,667.00 ","$194,333.00 ","$199,333.00 ","$203,648.00 ","$209,982.00 ","$217,315.00 ","$221,333.00 ","$218,000.00 ","$217,167.00 ","$213,833.00 ","$208,833.00 ","$202,667.00 ","$203,667.00 ","$211,983.00 ","$226,617.00 ","$234,950.00 ","$241,600.00 ","$241,633.00 "
"Riverside, CA","$385,833.00 ","$388,000.00 ","$392,000.00 ","$393,667.00 ","$395,667.00 ","$398,667.00 ","$407,000.00 ","$414,000.00 ","$422,000.00 ","$427,000.00 ","$431,833.00 ","$435,167.00 ","$437,750.00 ","$442,583.00 ","$450,917.00 ","$462,500.00 ","$474,167.00 ","$484,167.00 ","$493,667.00 ","$498,667.00 "
"Phoenix, AZ","$297,163.00 ","$298,833.00 ","$300,833.00 ","$302,000.00 ","$302,000.00 ","$303,654.00 ","$308,987.00 ","$317,321.00 ","$324,000.00 ","$330,967.00 ","$334,300.00 ","$335,967.00 ","$338,333.00 ","$345,000.00 ","$355,000.00 ","$365,667.00 ","$379,000.00 ","$390,667.00 ","$400,408.00 ","$406,075.00 "
"Seattle, WA","$501,192.00 ","$508,767.00 ","$514,233.00 ","$526,317.00 ","$524,667.00 ","$529,650.00 ","$536,650.00 ","$551,650.00 ","$560,000.00 ","$563,333.00 ","$563,333.00 ","$556,667.00 ","$555,000.00 ","$558,333.00 ","$578,333.00 ","$603,000.00 ","$631,333.00 ","$648,000.00 ","$657,983.00 ","$658,983.00 "
"Minneapolis-St Paul, MN","$277,825.00 ","$277,159.00 ","$282,327.00 ","$291,835.00 ","$297,152.00 ","$299,317.00 ","$302,650.00 ","$309,000.00 ","$311,000.00 ","$311,333.00 ","$309,667.00 ","$308,667.00 ","$305,000.00 ","$304,967.00 ","$311,600.00 ","$323,267.00 ","$333,300.00 ","$340,241.00 ","$344,741.00 ","$348,075.00 "
"San Diego, CA","$598,417.00 ","$599,417.00 ","$605,750.00 ","$605,000.00 ","$601,667.00 ","$603,333.00 ","$616,667.00 ","$633,333.00 ","$651,000.00 ","$657,667.00 ","$662,000.00 ","$657,667.00 ","$656,000.00 ","$664,000.00 ","$684,000.00 ","$707,750.00 ","$726,083.00 ","$742,750.00 ","$750,667.00 ","$748,333.00 "
"St. Louis, MO","$190,268.00 ","$185,983.00 ","$185,000.00 ","$189,333.00 ","$200,000.00 ","$206,667.00 ","$211,667.00 ","$216,167.00 ","$217,167.00 ","$215,500.00 ","$211,000.00 ","$209,556.00 ","$206,889.00 ","$203,523.00 ","$203,217.00 ","$206,550.00 ","$214,917.00 ","$223,333.00 ","$231,000.00 ","$231,733.00 "
