RegionName,2017,2018,2019
"New York, NY",404416,414097,419020
"Los Angeles-Long Beach-Anaheim, CA",605312,640611,646689
"Chicago, IL",228044,233166,238503
"Dallas-Fort Worth, TX",252901,263851,269364
"Philadelphia, PA",234019,239058,247939
"Houston, TX",226490,234156,241990
"Washington, DC",391382,403872,411358
"Miami-Fort Lauderdale, FL",265133,278487,288636
"Atlanta, GA",221463,239616,252163
"Boston, MA",418206,445574,456522
"San Francisco, CA",745763,807027,804517
"Detroit, MI",174355,180620,188323
"Riverside, CA",343229,367311,373664
"Phoenix, AZ",251739,271058,283237
"Seattle, WA",431635,470660,487901
"Minneapolis-St Paul, MN",243561,260892,275010
"San Diego, CA",539222,579069,582358
"St. Louis, MO",174162,179412,187863
"Tampa, FL",205567,220673,229793
"Baltimore, MD",282271,290705,300245
"Denver, CO",383893,414716,421431
"Pittsburgh, PA",159540,165700,173700
"Portland, OR",363580,387442,396349
"Charlotte, NC",231319,248445,261894
"Sacramento, CA",379784,403131,414523
"San Antonio, TX",211126,222751,228203
"Orlando, FL",237270,251973,264437
"Cincinnati, OH",166735,175372,183612
"Cleveland, OH",140225,142505,150336
"Kansas City, MO",198875,211375,221144
"Las Vegas, NV",255524,287564,298317
"Columbus, OH",184890,198904,208656
"Indianapolis, IN",165209,178686,190717
"San Jose, CA",928986,1089757,1032880
"Austin, TX",294855,307967,315893
"Virginia Beach, VA",240480,244595,250776
"Nashville, TN",259225,279012,293664
"Providence, RI",258219,269537,283801
"Milwaukee, WI",194819,204688,204433
"Jacksonville, FL",222652,241093,248472
"Memphis, TN",165344,172707,183139
"Oklahoma City, OK",165541,170755,184578
"Louisville-Jefferson County, KY",171982,180600,190535
"Hartford, CT",220061,224762,224477
"Richmond, VA",236956,246225,257004
"New Orleans, LA",188476,196339,207999
"Buffalo, NY",145324,153047,161160
"Raleigh, NC",264117,279065,290569
"Birmingham, AL",184685,194672,204705
"Salt Lake City, UT",286976,312643,329480
"Rochester, NY",139667,146090,151504
"Grand Rapids, MI",175893,190822,204628
"Tucson, AZ",199111,210152,222407
"Urban Honolulu, HI",579591,571281,587188
"Tulsa, OK",159699,164856,170479
"Fresno, CA",257145,272388,282234
"Worcester, MA",254664,264108,272652
"Stamford, CT",406493,403193,395352
"Albuquerque, NM",189890,197867,212634
"Albany, NY",183179,193054,196771
"Omaha, NE",174652,187489,196658
"New Haven, CT",213239,221572,223877
"Bakersfield, CA",223055,233194,243574
"Knoxville, TN",174068,191195,204379
"Greenville, SC",186456,197683,210575
"Ventura, CA",568114,592958,592382
"Allentown, PA",181727,191326,198460
"El Paso, TX",150504,155478,161937
"Baton Rouge, LA",192437,201893,206632
"Dayton, OH",130833,137172,141706
"McAllen, TX",137808,143275,150829
"Columbia, SC",164328,172882,181718
"Greensboro, NC",149972,157793,163843
"Akron, OH",139189,141335,148689
"North Port-Sarasota-Bradenton, FL",264422,271118,278776
"Little Rock, AR",163227,161650,167284
"Stockton, CA",353824,384132,396749
"Charleston, SC",259832,273328,282008
"Syracuse, NY",131557,137793,144097
"Colorado Springs, CO",279306,306005,319604
"Winston-Salem, NC",150875,160173,170822
"Wichita, KS",142530,146229,153986
"Springfield, MA",203700,213072,218242
"Fort Myers, FL",219948,230254,234467
"Boise City, ID",235170,272516,292438
"Toledo, OH",118095,121028,127724
"Madison, WI",245237,258761,267449
"Lakeland, FL",175751,191817,204750
"Ogden, UT",238256,263853,281973
"Daytona Beach, FL",186527,206338,219387
"Des Moines, IA",190244,202523,211494
"Provo, UT",272914,300699,317779
"Durham, NC",255641,274868,284250
"Fort Collins, CO",353237,381585,387414
