RegionName,Year,AverageMedian,City,State
"Akron, OH",2017,"$139,189.00 ",Akron, OH
"Akron, OH",2018,"$141,335.00 ",Akron, OH
"Akron, OH",2019,"$148,689.00 ",Akron, OH
"Albany, NY",2017,"$183,179.00 ",Albany, NY
"Albany, NY",2018,"$193,054.00 ",Albany, NY
"Albany, NY",2019,"$196,771.00 ",Albany, NY
"Albuquerque, NM",2017,"$189,890.00 ",Albuquerque, NM
"Albuquerque, NM",2018,"$197,867.00 ",Albuquerque, NM
"Albuquerque, NM",2019,"$212,634.00 ",Albuquerque, NM
"Allentown, PA",2017,"$181,727.00 ",Allentown, PA
"Allentown, PA",2018,"$191,326.00 ",Allentown, PA
"Allentown, PA",2019,"$198,460.00 ",Allentown, PA
"Atlanta, GA",2017,"$221,463.00 ",Atlanta, GA
"Atlanta, GA",2018,"$239,616.00 ",Atlanta, GA
"Atlanta, GA",2019,"$252,163.00 ",Atlanta, GA
"Austin, TX",2017,"$294,855.00 ",Austin, TX
"Austin, TX",2018,"$307,967.00 ",Austin, TX
"Austin, TX",2019,"$315,893.00 ",Austin, TX
"Bakersfield, CA",2017,"$223,055.00 ",Bakersfield, CA
"Bakersfield, CA",2018,"$233,194.00 ",Bakersfield, CA
"Bakersfield, CA",2019,"$243,574.00 ",Bakersfield, CA
"Baltimore, MD",2017,"$282,271.00 ",Baltimore, MD
"Baltimore, MD",2018,"$290,705.00 ",Baltimore, MD
"Baltimore, MD",2019,"$300,245.00 ",Baltimore, MD
"Baton Rouge, LA",2017,"$192,437.00 ",Baton Rouge, LA
"Baton Rouge, LA",2018,"$201,893.00 ",Baton Rouge, LA
"Baton Rouge, LA",2019,"$206,632.00 ",Baton Rouge, LA
"Birmingham, AL",2017,"$184,685.00 ",Birmingham, AL
"Birmingham, AL",2018,"$194,672.00 ",Birmingham, AL
"Birmingham, AL",2019,"$204,705.00 ",Birmingham, AL
"Boise City, ID",2017,"$235,170.00 ",Boise City, ID
"Boise City, ID",2018,"$272,516.00 ",Boise City, ID
"Boise City, ID",2019,"$292,438.00 ",Boise City, ID
"Boston, MA",2017,"$418,206.00 ",Boston, MA
"Boston, MA",2018,"$445,574.00 ",Boston, MA
"Boston, MA",2019,"$456,522.00 ",Boston, MA
"Buffalo, NY",2017,"$145,324.00 ",Buffalo, NY
"Buffalo, NY",2018,"$153,047.00 ",Buffalo, NY
"Buffalo, NY",2019,"$161,160.00 ",Buffalo, NY
"Charleston, SC",2017,"$259,832.00 ",Charleston, SC
"Charleston, SC",2018,"$273,328.00 ",Charleston, SC
"Charleston, SC",2019,"$282,008.00 ",Charleston, SC
"Charlotte, NC",2017,"$231,319.00 ",Charlotte, NC
"Charlotte, NC",2018,"$248,445.00 ",Charlotte, NC
"Charlotte, NC",2019,"$261,894.00 ",Charlotte, NC
"Chicago, IL",2017,"$228,044.00 ",Chicago, IL
"Chicago, IL",2018,"$233,166.00 ",Chicago, IL
"Chicago, IL",2019,"$238,503.00 ",Chicago, IL
"Cincinnati, OH",2017,"$166,735.00 ",Cincinnati, OH
"Cincinnati, OH",2018,"$175,372.00 ",Cincinnati, OH
"Cincinnati, OH",2019,"$183,612.00 ",Cincinnati, OH
"Cleveland, OH",2017,"$140,225.00 ",Cleveland, OH
"Cleveland, OH",2018,"$142,505.00 ",Cleveland, OH
"Cleveland, OH",2019,"$150,336.00 ",Cleveland, OH
"Colorado Springs, CO",2017,"$279,306.00 ",Colorado Springs, CO
"Colorado Springs, CO",2018,"$306,005.00 ",Colorado Springs, CO
"Colorado Springs, CO",2019,"$319,604.00 ",Colorado Springs, CO
"Columbia, SC",2017,"$164,328.00 ",Columbia, SC
"Columbia, SC",2018,"$172,882.00 ",Columbia, SC
"Columbia, SC",2019,"$181,718.00 ",Columbia, SC
"Columbus, OH",2017,"$184,890.00 ",Columbus, OH
"Columbus, OH",2018,"$198,904.00 ",Columbus, OH
"Columbus, OH",2019,"$208,656.00 ",Columbus, OH
"Dallas-Fort Worth, TX",2017,"$252,901.00 ",Dallas-Fort Worth, TX
"Dallas-Fort Worth, TX",2018,"$263,851.00 ",Dallas-Fort Worth, TX
"Dallas-Fort Worth, TX",2019,"$269,364.00 ",Dallas-Fort Worth, TX
"Dayton, OH",2017,"$130,833.00 ",Dayton, OH
"Dayton, OH",2018,"$137,172.00 ",Dayton, OH
"Dayton, OH",2019,"$141,706.00 ",Dayton, OH
"Daytona Beach, FL",2017,"$186,527.00 ",Daytona Beach, FL
"Daytona Beach, FL",2018,"$206,338.00 ",Daytona Beach, FL
"Daytona Beach, FL",2019,"$219,387.00 ",Daytona Beach, FL
"Denver, CO",2017,"$383,893.00 ",Denver, CO
"Denver, CO",2018,"$414,716.00 ",Denver, CO
"Denver, CO",2019,"$421,431.00 ",Denver, CO
"Des Moines, IA",2017,"$190,244.00 ",Des Moines, IA
"Des Moines, IA",2018,"$202,523.00 ",Des Moines, IA
"Des Moines, IA",2019,"$211,494.00 ",Des Moines, IA
"Detroit, MI",2017,"$174,355.00 ",Detroit, MI
"Detroit, MI",2018,"$180,620.00 ",Detroit, MI
"Detroit, MI",2019,"$188,323.00 ",Detroit, MI
"Durham, NC",2017,"$255,641.00 ",Durham, NC
"Durham, NC",2018,"$274,868.00 ",Durham, NC
"Durham, NC",2019,"$284,250.00 ",Durham, NC
"El Paso, TX",2017,"$150,504.00 ",El Paso, TX
"El Paso, TX",2018,"$155,478.00 ",El Paso, TX
"El Paso, TX",2019,"$161,937.00 ",El Paso, TX
"Fort Collins, CO",2017,"$353,237.00 ",Fort Collins, CO
"Fort Collins, CO",2018,"$381,585.00 ",Fort Collins, CO
"Fort Collins, CO",2019,"$387,414.00 ",Fort Collins, CO
"Fort Myers, FL",2017,"$219,948.00 ",Fort Myers, FL
"Fort Myers, FL",2018,"$230,254.00 ",Fort Myers, FL
"Fort Myers, FL",2019,"$234,467.00 ",Fort Myers, FL
"Fresno, CA",2017,"$257,145.00 ",Fresno, CA
"Fresno, CA",2018,"$272,388.00 ",Fresno, CA
"Fresno, CA",2019,"$282,234.00 ",Fresno, CA
"Grand Rapids, MI",2017,"$175,893.00 ",Grand Rapids, MI
"Grand Rapids, MI",2018,"$190,822.00 ",Grand Rapids, MI
"Grand Rapids, MI",2019,"$204,628.00 ",Grand Rapids, MI
"Greensboro, NC",2017,"$149,972.00 ",Greensboro, NC
"Greensboro, NC",2018,"$157,793.00 ",Greensboro, NC
"Greensboro, NC",2019,"$163,843.00 ",Greensboro, NC
"Greenville, SC",2017,"$186,456.00 ",Greenville, SC
"Greenville, SC",2018,"$197,683.00 ",Greenville, SC
"Greenville, SC",2019,"$210,575.00 ",Greenville, SC
