RegionName,AverageMedian,City,State,Year
"New York, NY","$448,065.00 ",New York, NY,2020
"Los Angeles-Long Beach-Anaheim, CA","$699,588.00 ",Los Angeles-Long Beach-Anaheim, CA,2020
"Chicago, IL","$255,368.00 ",Chicago, IL,2020
"Dallas-Fort Worth, TX","$289,596.00 ",Dallas-Fort Worth, TX,2020
"Philadelphia, PA","$270,493.00 ",Philadelphia, PA,2020
"Houston, TX","$257,808.00 ",Houston, TX,2020
"Washington, DC","$440,161.00 ",Washington, DC,2020
"Miami-Fort Lauderdale, FL","$318,319.00 ",Miami-Fort Lauderdale, FL,2020
"Atlanta, GA","$275,654.00 ",Atlanta, GA,2020
"Boston, MA","$503,397.00 ",Boston, MA,2020
"San Francisco, CA","$857,236.00 ",San Francisco, CA,2020
"Detroit, MI","$205,995.00 ",Detroit, MI,2020
"Riverside, CA","$411,895.00 ",Riverside, CA,2020
"Phoenix, AZ","$316,432.00 ",Phoenix, AZ,2020
"Seattle, WA","$540,855.00 ",Seattle, WA,2020
"Minneapolis-St Paul, MN","$300,425.00 ",Minneapolis-St Paul, MN,2020
"San Diego, CA","$629,125.00 ",San Diego, CA,2020
"St. Louis, MO","$204,577.00 ",St. Louis, MO,2020
"Tampa, FL","$253,525.00 ",Tampa, FL,2020
"Baltimore, MD","$310,426.00 ",Baltimore, MD,2020
"Denver, CO","$451,843.00 ",Denver, CO,2020
"Pittsburgh, PA","$186,213.00 ",Pittsburgh, PA,2020
"Portland, OR","$427,713.00 ",Portland, OR,2020
"Charlotte, NC","$286,534.00 ",Charlotte, NC,2020
"Sacramento, CA","$453,631.00 ",Sacramento, CA,2020
"San Antonio, TX","$246,564.00 ",San Antonio, TX,2020
"Orlando, FL","$279,776.00 ",Orlando, FL,2020
"Cincinnati, OH","$203,549.00 ",Cincinnati, OH,2020
"Cleveland, OH","$166,095.00 ",Cleveland, OH,2020
"Kansas City, MO","$244,806.00 ",Kansas City, MO,2020
"Las Vegas, NV","$316,556.00 ",Las Vegas, NV,2020
"Columbus, OH","$229,409.00 ",Columbus, OH,2020
"Indianapolis, IN","$217,152.00 ",Indianapolis, IN,2020
"San Jose, CA","$1,114,256.00 ",San Jose, CA,2020
"Austin, TX","$347,015.00 ",Austin, TX,2020
"Virginia Beach, VA","$269,150.00 ",Virginia Beach, VA,2020
"Nashville, TN","$315,959.00 ",Nashville, TN,2020
"Providence, RI","$315,720.00 ",Providence, RI,2020
